6144,ADONI,Kurnool,Adoni,ANDHRA PRADESH,0101000020E6100000A973F4B7015153409291212EDE3E2F40
6145,ANAKAPALLI,Anakapalle,Anakapalle,ANDHRA PRADESH,0101000020E61000008398F3D733C15440332C4455D0B03140
6367,ANANTHAPURAMU,Ananthapuramu,Anantapuramu,ANDHRA PRADESH,0101000020E6100000A066F4C1E1665340B04FAB1E19652D40
6368,BOBBILI APMC,Vizianagaram,Balijipeta,ANDHRA PRADESH,0101000020E6100000228A732CB2D75440AE4DFF19EF933240
6369,CHILAKALURIPET APMC,Palnadu,Chilakaluripeta,ANDHRA PRADESH,0101000020E6100000F6E468A7A80A54403D22061F2B193040
6370,DENDULURU,Eluru,Denduluru,ANDHRA PRADESH,0101000020E6100000ABDEF3BF774A5440F7B8658B0BC23040
6371,DUGGIRALA,Guntur,Duggirala,ANDHRA PRADESH,0101000020E6100000E562364616285440B16902AA6C533040
6372,ELURU,Eluru,Eluru,ANDHRA PRADESH,0101000020E61000002DE0F3120A475440560B29CE6CB53040
6373,GOPALAPURAM,West Godavari,Gopalapuram,ANDHRA PRADESH,0101000020E6100000C7CF73DDA362544054CC61E0CD1A3140
6374,GUNTUR,Guntur,Guntur,ANDHRA PRADESH,0101000020E6100000996956DD3C1D54404EB88CF5464B3040
6375,GURRAMKONDA,Annamayya,Gurramkonda,ANDHRA PRADESH,0101000020E6100000996956DD3C1D54404EB88CF5464B3040
6376,HINDUPUR,Sri Satyasai,Sri Satyasai,ANDHRA PRADESH,0101000020E61000004D6BF494D95F53400D59BBDBC5A12B40
6377,ICHAPURAM APMC,Srikakulam,Ichchapuram,ANDHRA PRADESH,0101000020E6100000A257F312E82B5540A4B0519AA81D3340
6378,JAGGAYYAPET APMC,NTR,Jaggayyapeta,ANDHRA PRADESH,0101000020E61000003107F4CA740654404F94D58E83E63040
6379,KADAPA,YSR Kadapa,Kadapa,ANDHRA PRADESH,0101000020E6100000F437F4D812B55340F82C2931A4F82C40
6380,KALIKIRI,Annamayya,Valmikipuram,ANDHRA PRADESH,0101000020E610000072FFCBF9CFA8534062249EC7074C2B40
6381,Kalyandurg,Ananthapuramu,Ananthapuramu,ANDHRA PRADESH,0101000020E61000005079F4A83847534004B57D87A51E2D40
6382,KURNOOL,Kurnool,Kallur,ANDHRA PRADESH,0101000020E61000004756F439D6815340204C59B359A72F40
6383,MADANAPALLE,Annamayya,Madanapalle,ANDHRA PRADESH,0101000020E61000006C7CFEDD58A05340275BF604F8192B40
6384,PALAMANER,Chittoor,Palamaner,ANDHRA PRADESH,0101000020E61000003073A5450DB05340DFC04B70AD662A40
6385,PARCHUR APMC,Bapatla,Parchuru,ANDHRA PRADESH,0101000020E61000009100F4512E1154405AD2876AB2EC2F40
6386,PATTIKONDA,Kurnool,Pattikonda,ANDHRA PRADESH,0101000020E61000001D6AF44CD56053402C74421062C62E40
6387,PIDUGURALLA,Palnadu,Piduguralla,ANDHRA PRADESH,0101000020E610000008D07D09ECF753406455E05DFC7A3040
6388,PUNGANUR,Chittoor,Madanapalle,ANDHRA PRADESH,0101000020E6100000A6417A1DD1A45340FBBBA7F004BF2A40
6389,RAPUR,SPSR Nellore,Podalakur,ANDHRA PRADESH,0101000020E61000001D6AF44CD56053402C74421062C62E40
6390,RAVULAPALEM APMC,Dr BR Ambedkar Konaseema,Ravulapalem,ANDHRA PRADESH,0101000020E6100000D7247CCEEB755440B51B1C80F9C23040
6391,RAYADURG APMC,Ananthapuramu,Rayadurg,ANDHRA PRADESH,0101000020E6100000DC82F479FF3653409D9DD3C5B26A2D40
6392,SATTENAPALLE APMC,Palnadu,Sattenapalle,ANDHRA PRADESH,0101000020E61000009604F4F1FE09544038DDE199EF643040
6393,TADIKONDA APMC,Guntur,Tadikonda,ANDHRA PRADESH,0101000020E6100000E2F9F3AC121D54401BA3194B1D6B3040
6394,TENALI,Guntur,Tenali,ANDHRA PRADESH,0101000020E610000065F3F3CD5E285440A410D885B43D3040
6395,VEMURU BHATTIPROLU,Bapatla,Bhattiprolu,ANDHRA PRADESH,0101000020E610000096EC73BA333254409B80F1C98C1A3040
6396,VIZIANAGARAM APMC,Vizianagaram,Vizianagaram,ANDHRA PRADESH,0101000020E61000005E88F3D7FCD9544088891867FB1F3240
6397,YEMMIGANUR,Kurnool,Kurnool,ANDHRA PRADESH,0101000020E6100000F86BF4412E5E534073001F58908B2F40
12871,AMBIKAPUR,Surguja ,Ambikapur,CHHATTISGARH,0101000020E61000000EE3C9C91FC654405122D3EB60203740
12872,ARIYALUR,Ariyalur,Udayarpalayam,TAMIL NADU,0101000020E61000006864462E6EC353401F1A715C21472640
12873,MANAPPARAI,Tiruchirappalli ,Manapparai,TAMIL NADU,0101000020E6100000265E5441FB975340EA4B25F2133D2540
12874,CHAWMANU,Dhalai,Longtharai Valley,TRIPURA,0101000020E6100000BD0D7BEB0DFE5640ABD0402C9BD93740
12875,KIPHIRE,Kiphire ,Pungro,NAGALAND,0101000020E61000000B348E47DFB05740180B9E9D67DD3940
12876,GOPIGANJ,Bhadohi ,Gyanpur,UTTAR PRADESH,0101000020E6100000BC6EB65E789A5440ACC5A70018493940
12877,BAHJOI,Sambhal,Chandausi,UTTAR PRADESH,0101000020E6100000B304BE47A2A75340AFAB6E9AE3633C40
12878,PUDUPALAYAM,Cuddalore,Cuddalore,TAMIL NADU,0101000020E61000007D02CD8C23B85340B875374F75B82840
12879,MONDAY MARKET,Kalkulam,Eraniel,TAMIL NADU,0101000020E61000003FD69D38CA525340769208E819662040
12880,VEPPUR,Perambalur,Veppanthattai,TAMIL NADU,0101000020E6100000A2808A36C9C45340D221CBDD421A2740
12881,PENNAGARAM,Dharmapuri,Pennagaram,TAMIL NADU,0101000020E6100000940156FD8076534049EFC0A508452840
